table_name,columns
accommodation_amenities,"id uuid NOT NULL, accommodation_id uuid, amenity_type text NOT NULL, amenity_name text NOT NULL, is_available boolean, additional_info text"
accommodation_categories,"id uuid NOT NULL, accommodation_id uuid, category text NOT NULL"
accommodation_images,"id uuid NOT NULL, accommodation_id uuid, image_url text NOT NULL, image_type text, display_order integer, alt_text text, created_at timestamp with time zone"
accommodations,"id uuid NOT NULL, business_id uuid, name text NOT NULL, description text, accommodation_type text NOT NULL, address text NOT NULL, detailed_address text, latitude numeric, longitude numeric, region text NOT NULL, max_capacity integer NOT NULL, bedrooms integer, bathrooms integer, base_price integer NOT NULL, weekend_price integer, checkin_time time without time zone, checkout_time time without time zone, status text, is_featured boolean, created_at timestamp with time zone, updated_at timestamp with time zone, usage_guide text, refund_policy text, seller_info text, special_notes text, amenities jsonb, extra_options jsonb, images ARRAY, host_id uuid"
admin_accounts,"id uuid NOT NULL, email text NOT NULL, password_hash text NOT NULL, full_name text NOT NULL, role text, permissions jsonb, is_active boolean, created_by uuid, created_at timestamp with time zone, last_login timestamp with time zone"
business_accounts,"id uuid NOT NULL, user_id uuid, business_name text NOT NULL, business_number text NOT NULL, representative_name text NOT NULL, contact_email text NOT NULL, contact_phone text NOT NULL, business_address text NOT NULL, is_verified boolean, status text, created_at timestamp with time zone, updated_at timestamp with time zone"
categories,"id uuid NOT NULL, name character varying(100) NOT NULL, description text, icon character varying(100), sort_order integer, is_active boolean, created_at timestamp with time zone"
hosts,"id uuid NOT NULL, user_id uuid, business_name character varying(255) NOT NULL, business_number character varying(20), representative_name character varying(255) NOT NULL, phone character varying(20) NOT NULL, address text NOT NULL, bank_name character varying(100), account_number character varying(50), account_holder character varying(100), status character varying(20), commission_rate numeric, created_at timestamp with time zone, updated_at timestamp with time zone"
notices,"id uuid NOT NULL, admin_id uuid, title text NOT NULL, content text NOT NULL, notice_type text, target_audience text, is_pinned boolean, is_popup boolean, start_date timestamp with time zone, end_date timestamp with time zone, status text, view_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
notifications,"id uuid NOT NULL, user_id uuid, type text NOT NULL, title text NOT NULL, content text NOT NULL, is_read boolean, related_id uuid, created_at timestamp with time zone"
partner_inquiries,"id uuid NOT NULL, business_name character varying(255) NOT NULL, contact_name character varying(255) NOT NULL, phone character varying(20) NOT NULL, website_url character varying(255) NOT NULL, location character varying(255) NOT NULL, space_type character varying(100) NOT NULL, daily_rate character varying(100) NOT NULL, average_idle_days character varying(100) NOT NULL, parking_spaces character varying(100), amenities text, notes text, privacy_consent boolean NOT NULL, marketing_consent boolean, status character varying(20), created_at timestamp with time zone, updated_at timestamp with time zone, admin_notes text"
partnership_inquiries,"id uuid NOT NULL, company_name character varying(255) NOT NULL, contact_name character varying(255) NOT NULL, email character varying(255) NOT NULL, phone character varying(20), business_type character varying(100) NOT NULL, inquiry text NOT NULL, status character varying(20), created_at timestamp with time zone, updated_at timestamp with time zone, notes text"
